the_geom,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
POINT (-90.070152779133 29.958890691092),89550,RAMPART FUEL,447 N RAMPART ST,,NEW ORLEANS,LA,70112,504-247-2361,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"RAMPART FUEL, LLC.",3680828.77077,532745.325636
POINT (-90.056793456953 29.973799538531),89535,MAGNOLIA DISCOUNT,1601 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,504-453-3542,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,RICKS ELYSIAN FIELDS LLC,3684998.50652,538213.613129
POINT (-90.059070365526 29.989534644461),89512,ELYSIAN 167,3032 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70112,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"ELYSIAN FIELDS OPERATIONS NO. 2, LLC",3684214.01589,543927.469326
POINT (-90.061834922165 30.023425087106),89513,ELYSIAN FIELDS SHELL,6300 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-884-8766,1101 - CONVENIENCE STORES,"M & S  OIL SERVICES, L.L.C.",3683202.15394,556241.64425
POINT (-90.088988419458 29.983087134974),89491,CITY PARK SHELL,3494 ESPLANADE AVE,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,OTTALLAH 3 INC,3674769.03925,541478.8203
POINT (-90.09218830281 29.927597472845),89509,"DISCOUNT ZONE, INC",3434 ST CHARLES AVE,,NEW ORLEANS,LA,70115,504-258-1222,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"FAST TRUCK, INC",3673974.62644,521289.704697
POINT (-90.076989294557 29.951922709288),89540,"MARK'S MID-CITY SERVICE STATION, INC.",4440 S CARROLLTON AVE,,NEW ORLEANS,LA,70119,504-488-0618,"1142 - GASOLINE STATIONS, OTHER","MARK'S MID-CITY SERVICE STATION, INC.",3678691.8167,530187.70942
POINT (-90.075060074694 30.020829777674),89531,LAKE TERRACE CROSSING,1600 ROBERT E LEE BLVD,,NEW ORLEANS,LA,70122,504-565-3722,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"SALJER,LLC",3679027.57403,555251.686873
POINT (-90.099351998937 29.965119915229),89480,BROWN DERBY SUPERSTORE,3402 TULANE AVE,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,BROWN DERBY SUPERSTORE INC,3671558.63348,534909.761926
POINT (-90.082387696022 29.96270513383),89474,BIG EASY,2201 CANAL ST,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,THUMBS UP RACE ONE LLC,3676939.52411,534089.898885
POINT (-90.018529134678 29.92403131143),89477,BROTHER FOOD MART NO. 136,3622 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-366-2413,1101 - CONVENIENCE STORES,"EXXON GENERAL DEGAULLE, LLC",3697320.45155,520253.142776
POINT (-90.011817501974 30.011252200005),89486,CHEF EXPRESS,6601 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70122,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,CHEF EXPRESS.LLC,3699080.57975,551994.204438
POINT (-90.076631346373 29.929844517036),89563,YOUSUF SHELL SELF SERVE,2135 MAGAZINE ST,,NEW ORLEANS,LA,70130,504-669-7866,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"YOUSUF, MUNIBUDDIN",3678893.21858,522160.51865
POINT (-89.94498321058 30.012111544861),89545,PALACE TRUCK STOP,12170 OLD GENTILLY RD,,NEW ORLEANS,LA,70129,504-241-0409,"1142 - GASOLINE STATIONS, OTHER",AMID TRAVEL PLAZA INC,3720228.10841,552556.804182
POINT (-90.100796563594 29.940122359249),89519,FUEL N MART,4140 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-891-1852,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"TWO GUYS WITH GAS, INC",3671199.02747,525814.783357
POINT (-90.073235925465 29.989444049045),89547,PARIS AVENUE SUPERETTE,2025 GENTILLY BLVD,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"PARIS AVENUE SUPERETTE, INC.",3679730.33141,543844.936142
POINT (-90.009551503804 30.011552259434),89558,TEX MART,6733 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,504-333-6282,1101 - CONVENIENCE STORES,TEX MART INC,3699796.45104,552111.595542
POINT (-90.058166614581 29.990470398866),89511,ELYSIAN 166,3101 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"ELYSIAN FIELDS OPERATIONS NO.1, LLC",3684496.30735,544270.927951
POINT (-90.071366615441 29.983457420454),89560,TRIANGLE DELI,1904 N BROAD ST,,NEW ORLEANS,LA,70119,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"HALO III, LLC",3680346.03035,541674.479756
POINT (-90.08288634294 29.971298506486),89544,ORLEANS CENTER MARKET,2707 ORLEANS AVE,,NEW ORLEANS,LA,70119,,1101 - CONVENIENCE STORES,ORLEANS CENTER MARKET LLC,3676747.53512,537213.051272
POINT (-90.065136844563 29.964470800225),89538,MANNINO'S P & M TEXACO SERVICE,1139 N RAMPART ST,,NEW ORLEANS,LA,70116,504-522-5255,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,MANNINO'S P & M TEXACO  SER INC,3682394.57314,534792.003718
POINT (-90.076989294557 29.951922709288),89499,DIAMOND DISCOUNT,15200 CHEF MENTEUR,,NEW ORLEANS,LA,70129,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,DIAMOND DISCOUNT LLC,3678691.8167,530187.70942
POINT (-90.067465507926 29.941721274165),89559,THE WAR HOUSE GAS COMPANY,1011 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70130,504-565-5462,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"THE WARE HOUSE GAS COMPANY, LLC",3681748.65084,526511.28915
POINT (-89.962830923536 30.04754858671),89482,BULLARD CHEVRON,7020 BULLARD AVE,,NEW ORLEANS,LA,70128,504-941-5148,"1142 - GASOLINE STATIONS, OTHER",TWO BROTHERS VENTURES LLC,3714425.70533,565375.02621
POINT (-89.932397943694 30.028566069052),89505,DISCOUNT ZONE,12930 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,504-780-8300,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,510 DISCOUNT ZONE LLC,3724137.81107,558588.727004
POINT (-90.12124494875 29.972162495142),89554,STERLING XPRESS #2,9201 AIRLINE HWY,,NEW ORLEANS,LA,70118,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,JENAHNMOODY LLC,3664599.69933,537396.732424
POINT (-89.861794209623 30.145278583545),89526,IRISH BAYOU TRUCK STOP,3684 RIDGEWAY BLVD,,NEW ORLEANS,LA,70129,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"FIVE BROTHERS II,INC",3745932.93045,601309.691972
POINT (-90.089290585975 29.946442822093),89503,DISCOUNT CITY,2013 S CLAIBORNE AVE,D,NEW ORLEANS,LA,70125,,1101 - CONVENIENCE STORES,T & HO LLC,3674818.05608,528152.516992
POINT (-89.9745493934 30.03573826052),89530,LAKE FOREST SPUR,5901 READ BLVD,,NEW ORLEANS,LA,70127,504-248-8885,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,"HINGEL PETROLEUM,LLC",3710769.39621,561036.189342
POINT (-90.10559452179 30.019138827828),89522,GAUCHETS ROCKERY SERVICE,722 ROBERT E LEE BLVD,,NEW ORLEANS,LA,70124,,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,GAUCHET DANNY L JR/STANL,3669371.62503,554531.96796
POINT (-90.018812626966 29.93864255848),89478,BROTHER TEXACO,3501 GENERAL MEYER AVE,,NEW ORLEANS,LA,70114,504-361-3920,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,MEHMOOD INC,3697169.70141,525565.256701
POINT (-90.002751713951 29.931509200122),89553,SPUR GENERAL MEYER,4901 GENERAL MEYER AVE,,NEW ORLEANS,LA,70131,504-393-9939,1131 - GASOLINE STATIONS W/CONVENIENCE STORES,SPUR GENERAL MEYER LLC,3702286.40177,523030.039547
